tipe_entitas,nama_entitas,tahun,nilai
"Kontraktor","Indominco Mandiri, PT",2009,478329
"Kontraktor","Insani Bara Perkasa, PT",2009,78345.23
"Kontraktor","Interex Sacra Raya, PT",2009,
"Kontraktor","Intitirta Primasakti, PT",2009,
"Kontraktor","Jorong Barutama Greston, PT",2009,148880
"Kontraktor","Kadya Caraka Mulia, PT",2009,11087.78
"Kontraktor","Kalimantan Energi Lestari, PT",2009,162.51
"Kontraktor","Kaltim Prima Coal, PT",2009,16162
"Kontraktor","Kartika Selabumi Mining, PT",2009,
"Kontraktor","Kendilo Coal Indonesia, PT",2009,
"Kontraktor","Kideco Jaya Agung, PT",2009,516555
"Kontraktor","Lanna Harita Indonesia, PT",2009,173863.85
"Kontraktor","Mahakam Sumber Jaya, PT",2009,308029
"Kontraktor","Mandiri Intiperkasa, PT",2009,183560.56
"Kontraktor","Mantimin Coal Mining, PT",2009,
"Kontraktor","Marunda Graha Mineral, PT",2009,310816.89
"Kontraktor","Multi Harapan Utama, PT",2009,83558
"Kontraktor","Multi Tambangjaya Utama, PT",2009,82940
"Kontraktor","Nusantara Termal Coal, PT",2009,81175.69
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2009,440
"Kontraktor","Perkasa Inakakerta, PT",2009,44446.36
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2009,17586
"Kontraktor","Riau Bara Harum, PT",2009,30967.4
"Kontraktor","Santan Batubara, PT",2009,83516
"Kontraktor","Senamas Energindo Mulia, PT",2009,1067.71
"Kontraktor","Singlurus Pratama, PT",2009,81444.28
"Kontraktor","Sumber Kurnia Buana, PT",2009,74669.45
"Kontraktor","Tanito Harum, PT",2009,8597.16
"Kontraktor","Tanjung Alam Jaya, PT",2009,11923.49
"Kontraktor","Teguh Sinar Abadi, PT",2009,289057.25
"Kontraktor","Trubaindo Coal Mining, PT",2009,309740
"Kontraktor","Wahana Baratama Mining, PT",2009,100802.24
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2009,
"Kuasa Pertambangan Swasta","Prov. Jambi",2009,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2009,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2009,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2009,608348.14
"Kuasa Pertambangan Swasta","Prov. Riau",2009,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2009,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2009,119530.54
"BUMN","Bukit Asam",2010,
"BUMN","Bukit Asam - Ombilin",2010,
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2010,
"Kontraktor","Adaro Indonesia, PT",2010,400244
"Kontraktor","Allied Indo Coal, PT",2010,
"Kontraktor","Antang Gunung Meratus, PT",2010,3982.54
"Kontraktor","Arutmin Indonesia, PT",2010,81590
"Kontraktor","Asmin Koalindo Tuhup, PT",2010,312970
"Kontraktor","Bahari Cakrawala Sebuku, PT",2010,83691
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2010,
"Kontraktor","Baramarta, PD",2010,238148.72
"Kontraktor","Baramulti Suksessarana, PT",2010,
"Kontraktor","Batualam Selaras, PT",2010,
"Kontraktor","Berau Coal, PT",2010,235206
"Kontraktor","Borneo Indobara, PT",2010,26547.46
"Kontraktor","Firman Ketaun Perkasa, PT",2010,118519.86
"Kontraktor","Gunung Bayan Pratamacoal, PT",2010,5416.66
"Kontraktor","Indominco Mandiri, PT",2010,521158
"Kontraktor","Insani Bara Perkasa, PT",2010,143837.16
"Kontraktor","Interex Sacra Raya, PT",2010,7619
"Kontraktor","Intitirta Primasakti, PT",2010,
"Kontraktor","Jorong Barutama Greston, PT",2010,15081
"Kontraktor","Kadya Caraka Mulia, PT",2010,8732.54
"Kontraktor","Kalimantan Energi Lestari, PT",2010,162.51
"Kontraktor","Kaltim Prima Coal, PT",2010,28097
"Kontraktor","Kartika Selabumi Mining, PT",2010,1875.87
"Kontraktor","Kendilo Coal Indonesia, PT",2010,
"Kontraktor","Kideco Jaya Agung, PT",2010,438731
"Kontraktor","Lanna Harita Indonesia, PT",2010,145999.3
"Kontraktor","Mahakam Sumber Jaya, PT",2010,446187
"Kontraktor","Mandiri Intiperkasa, PT",2010,209981.25
"Kontraktor","Mantimin Coal Mining, PT",2010,
"Kontraktor","Marunda Graha Mineral, PT",2010,105083.72
"Kontraktor","Multi Harapan Utama, PT",2010,56090
"Kontraktor","Multi Tambangjaya Utama, PT",2010,119587
"Kontraktor","Nusantara Termal Coal, PT",2010,
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2010,390
"Kontraktor","Perkasa Inakakerta, PT",2010,90827.81
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2010,
"Kontraktor","Riau Bara Harum, PT",2010,54026
"Kontraktor","Santan Batubara, PT",2010,59774
"Kontraktor","Senamas Energindo Mulia, PT",2010,4681.25
"Kontraktor","Singlurus Pratama, PT",2010,1798.74
"Kontraktor","Sumber Kurnia Buana, PT",2010,38639.37
"Kontraktor","Tanito Harum, PT",2010,30208.69
"Kontraktor","Tanjung Alam Jaya, PT",2010,4152.4
"Kontraktor","Teguh Sinar Abadi, PT",2010,341389.52
"Kontraktor","Trubaindo Coal Mining, PT",2010,305997
"Kontraktor","Wahana Baratama Mining, PT",2010,61007.49
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2010,
"Kuasa Pertambangan Swasta","Prov. Jambi",2010,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2010,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2010,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2010,409303.79
"Kuasa Pertambangan Swasta","Prov. Riau",2010,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2010,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2010,8746.23
